AE	AED	2014-02-08 10:17:21.510000000
AR	ARS	2014-02-08 10:17:21.510000000
AT	ATS	2014-02-08 10:17:21.510000000
AT	EUR	2008-04-30 00:00:00
AU	AUD	2014-02-08 10:17:21.510000000
BB	BBD	2014-02-08 10:17:21.510000000
BD	BDT	2014-02-08 10:17:21.510000000
BE	BEF	2014-02-08 10:17:21.510000000
BE	EUR	2008-04-30 00:00:00
BG	BGN	2014-02-08 10:17:21.510000000
BH	BHD	2014-02-08 10:17:21.510000000
BN	BND	2014-02-08 10:17:21.510000000
BO	BOB	2014-02-08 10:17:21.510000000
BR	BRL	2014-02-08 10:17:21.510000000
BS	BSD	2014-02-08 10:17:21.510000000
BT	BTN	2014-02-08 10:17:21.510000000
CA	CAD	2014-02-08 10:17:21.510000000
CH	CHF	2014-02-08 10:17:21.510000000
CL	CLP	2014-02-08 10:17:21.510000000
CN	CNY	2014-02-08 10:17:21.510000000
CO	COP	2014-02-08 10:17:21.510000000
CR	CRC	2014-02-08 10:17:21.510000000
CY	CYP	2014-02-08 10:17:21.510000000
CZ	CZK	2014-02-08 10:17:21.510000000
DE	DEM	2014-02-08 10:17:21.510000000
DE	EUR	2014-02-08 10:17:21.510000000
DK	DKK	2014-02-08 10:17:21.510000000
DO	DOP	2014-02-08 10:17:21.510000000
DZ	DZD	2014-02-08 10:17:21.510000000
EC	USD	2014-02-08 10:17:21.510000000
EE	EEK	2014-02-08 10:17:21.510000000
EG	EGP	2014-02-08 10:17:21.510000000
ES	ESP	2014-02-08 10:17:21.510000000
ES	EUR	2008-04-30 00:00:00
FI	EUR	2008-04-30 00:00:00
FI	FIM	2014-02-08 10:17:21.510000000
FJ	FJD	2014-02-08 10:17:21.510000000
FR	EUR	2014-02-08 10:17:21.510000000
FR	FRF	2014-02-08 10:17:21.510000000
GB	GBP	2014-02-08 10:17:21.510000000
GH	GHC	2014-02-08 10:17:21.510000000
GR	EUR	2008-04-30 00:00:00
GR	GRD	2014-02-08 10:17:21.510000000
GT	GTQ	2014-02-08 10:17:21.510000000
HK	HKD	2014-02-08 10:17:21.510000000
HR	HRK	2014-02-08 10:17:21.510000000
HU	HUF	2014-02-08 10:17:21.510000000
ID	IDR	2014-02-08 10:17:21.510000000
IE	EUR	2008-04-30 00:00:00
IE	IEP	2014-02-08 10:17:21.510000000
IL	ILS	2014-02-08 10:17:21.510000000
IN	INR	2014-02-08 10:17:21.510000000
IS	ISK	2014-02-08 10:17:21.510000000
IT	EUR	2008-04-30 00:00:00
IT	ITL	2014-02-08 10:17:21.510000000
JM	JMD	2014-02-08 10:17:21.510000000
JO	JOD	2014-02-08 10:17:21.510000000
JP	JPY	2014-02-08 10:17:21.510000000
KE	KES	2014-02-08 10:17:21.510000000
KR	KRW	2014-02-08 10:17:21.510000000
KW	KWD	2014-02-08 10:17:21.510000000
LB	LBP	2014-02-08 10:17:21.510000000
LK	LKR	2014-02-08 10:17:21.510000000
LT	LTL	2014-02-08 10:17:21.510000000
LU	EUR	2008-04-30 00:00:00
LV	LVL	2014-02-08 10:17:21.510000000
MA	MAD	2014-02-08 10:17:21.510000000
MT	MTL	2014-02-08 10:17:21.510000000
MU	MUR	2014-02-08 10:17:21.510000000
MV	MVR	2014-02-08 10:17:21.510000000
MX	MXN	2014-02-08 10:17:21.510000000
MY	MYR	2014-02-08 10:17:21.510000000
NA	NAD	2014-02-08 10:17:21.510000000
NG	NGN	2014-02-08 10:17:21.510000000
NL	EUR	2008-04-30 00:00:00
NL	NLG	2014-02-08 10:17:21.510000000
NO	NOK	2014-02-08 10:17:21.510000000
NP	NPR	2014-02-08 10:17:21.510000000
NZ	NZD	2014-02-08 10:17:21.510000000
OM	OMR	2014-02-08 10:17:21.510000000
PA	PAB	2014-02-08 10:17:21.510000000
PE	PEN	2014-02-08 10:17:21.510000000
PH	PHP	2014-02-08 10:17:21.510000000
PK	PKR	2014-02-08 10:17:21.510000000
PL	PLN	2014-02-08 10:17:21.510000000
PL	PLZ	2014-02-08 10:17:21.510000000
PT	EUR	2008-04-30 00:00:00
PT	PTE	2014-02-08 10:17:21.510000000
PY	PYG	2014-02-08 10:17:21.510000000
RO	ROL	2014-02-08 10:17:21.510000000
RU	RUB	2014-02-08 10:17:21.510000000
RU	RUR	2014-02-08 10:17:21.510000000
SA	SAR	2014-02-08 10:17:21.510000000
SE	SEK	2014-02-08 10:17:21.510000000
SG	SGD	2014-02-08 10:17:21.510000000
SI	SIT	2014-02-08 10:17:21.510000000
SK	SKK	2014-02-08 10:17:21.510000000
SV	SVC	2014-02-08 10:17:21.510000000
TH	THB	2014-02-08 10:17:21.510000000
TN	TND	2014-02-08 10:17:21.510000000
TR	TRL	2014-02-08 10:17:21.510000000
TT	TTD	2014-02-08 10:17:21.510000000
TW	TWD	2014-02-08 10:17:21.510000000
US	USD	2014-02-08 10:17:21.510000000
UY	UYU	2014-02-08 10:17:21.510000000
VE	VEB	2014-02-08 10:17:21.510000000
VN	VND	2014-02-08 10:17:21.510000000
ZA	ZAR	2014-02-08 10:17:21.510000000
ZW	ZWD	2014-02-08 10:17:21.510000000
